x,dice,rmse
0,0.85797,0.2258597801
1,0.83475,0.2391102873
2,0.86079,0.1093104226
3,0.78085,0.1152718984
4,0.8377,0.2348270421
5,0.8623,0.1103874959
6,0.8056,0.5515367082
7,0.87805,0.1700273026
8,0.79522,0.3130526263
9,0.84468,0.0932795632
10,0.84859,0.1411968038
11,0.8216,0.2087267991
12,0.56893,0.4431029732
13,0.85027,0.1278461037
14,0.57273,0.552438444
15,0,0.2546652306
16,0.79232,0.1263933071
17,0.82222,0.079002079
18,0.50505,0.3071161987
19,0.84646,0.1369887033
20,0.84104,0.0685068757
21,0.71206,0.272073742
22,0.80386,0.1707036044
23,0.82183,0.1739598728
24,0.83419,0.3754477369
25,0.80914,0.1851564261
26,0.8125,0.0953836135
27,0.82905,0.1219096761
28,0.8483,0.0814067079
29,0.7802,0.1915437217
30,0.82072,0.1799964932
31,0.8006,0.0982641585
32,0.82376,0.0942063472
33,0.59649,0.3054880645
34,0.85007,0.3212684418
35,0.54286,0.2422663627
36,0.82022,0.200435839
37,0.84768,0.1047015505
38,0.81065,0.2354031511
39,0.85632,0.3681837537
40,0.82292,0.2770833855
41,0.84495,0.0925281166
42,0.83388,0.1426496005
43,0.82319,0.0810059364
44,0.84666,0.0528266914
45,0.82784,0.3671066804
46,0.8579,0.1104375924
47,0.86885,0.13914285
48,0.80205,0.1909425644
49,0.84182,0.1226110262
50,0.60944,0.7752172933
51,0.61698,0.291511159
52,0.59229,0.2250331889
53,0.80943,0.1033990432
54,0.83195,0.1550234201
55,0.78835,0.1271197054
56,0.84595,0.0924028755
57,0.84014,0.1361370638
58,0.82143,0.1213836636
59,0.82581,0.198256644
60,0.82211,0.1064799739
61,0.02823,0.61798963
62,0.82919,0.1566014578
63,0.88,0.1021967287
64,0.82712,0.145580242
65,0.85671,0.0945319741
66,0.83108,0.0877689552
67,0.81154,0.0582120582
68,0.81384,0.1024722591
69,0.80464,0.0625203517
70,0.83582,0.1103123513
71,0.85498,0.0647245948
72,0.82092,0.0795280916
73,0.81455,0.1191293239
74,0.79599,0.2392605766
75,0.80284,0.0691330812
76,0.84365,0.2261603587
77,0.80417,0.3041855572
78,0.84472,0.0557322846
79,0.84986,0.1139944393
80,0.85843,0.1187035042
81,0.86068,0.1165744057
82,0.82791,0.0874934248
83,0.8758,0.1115397139
84,0.81395,0.5660145781
85,0.85236,0.0764221126
86,0.82789,0.1062795882
87,0.81899,0.1723066904
88,0.86053,0.1475840994
89,0.83309,0.0966109761
90,0.50927,0.5936928588
91,0.7919,0.0908749342
92,0.86509,0.0956591439
93,0.84922,0.1204067831
94,0.8069,0.18215064
95,0.84026,0.2756806853
96,0.79668,0.1391929464
97,0.83611,0.1375648123
98,0.78755,0.1529945144
99,0.85443,0.2108308494
100,0.83924,0.1583798813
101,0.84155,0.3386769531
102,0.81818,0.1944242667
103,0.8043,0.0585627333
104,0.8198,0.1049520327
105,0.84839,0.0994915212
106,0.66535,0.2482528868
107,0.86914,0.1578288205
108,0.83051,0.0939308168
109,0.77886,0.2991759136
110,0.85165,0.1454800491
111,0.82353,0.1308268417
112,0.80612,0.1761891641
113,0.81957,0.3787040052
114,0.63268,0.6204443554
115,0.37612,0.5552187962
116,0.83019,0.0997169551
117,0.81119,0.0924028755
118,0.85714,0.1616611978
119,0.85122,0.116950129
120,0.83102,0.1039250557
121,0.80505,0.100042582
122,0.84877,0.1396939108
123,0.84359,0.1240638229
124,0.83364,0.3640507978
125,0.83384,0.1131427999
126,0.82012,0.133507001
127,0.83902,0.1318287704
128,0.78119,0.2685920397
129,0.84451,0.07336623
130,0.55361,0.3595421186
131,0.81119,0.224356887
132,0.73864,0.1524184054
133,0.86076,0.0964105904
134,0.84358,0.0860406282
135,0.81149,0.0707612153
136,0.83333,0.2768829998
137,0.85455,0.1000175338
138,0.83165,0.0676552363
139,0.83278,0.1325551687
140,0.8216,0.1151967538
141,0.78516,0.0926784059
142,0.86115,0.1325551687
143,0.84971,0.0851639406
144,0.79931,0.1232121835
